Name,Carrier 1,Year 1,Carrier 2,Year 2,Carrier 3,Year 3,Carrier 4,Year 4,Carrier 5,Year 5,Carrier 6,Year 6,Carrier 7,Year 7,Carrier 8,Year 8,Carrier 9,Year 9,Carrier 10,Year 10,Carrier 11,Year 11,Carrier 12,Year 12,Carrier 13,Year 13,Carrier 14,Year 14,Carrier 15,Year 15,Carrier 16,Year 16,Carrier 17,Year 17,Carrier 18,Year 18,Carrier 19,Year 19,Carrier 20,Year 20,Carrier 21,Year 21,Carrier 22,Year 22,Carrier 23,Year 23,Carrier 24,Year 24,Carrier 25,Year 25,Carrier 26,Year 26,Carrier 27,Year 27,Carrier 28,Year 28,Carrier 29,Year 29,Carrier 30,Year 30,Carrier 31,Year 31,Carrier 32,Year 32,Carrier 33,Year 33,Carrier 34,Year 34,Carrier 35,Year 35,Carrier 36,Year 36,Carrier 37,Year 37,Carrier 38,Year 38,Carrier 39,Year 39,Carrier 40,Year 40,Carrier 41,Year 41,Carrier 42,Year 42,Carrier 43,Year 43,Carrier 44,Year 44,Carrier 45,Year 45
ACHARD Pierre Claude Paul,,1969,,1976,,1975,,1976,,1978,,1979,Cabinets,1981,,1982,,1992,,1999,,2008,,2008,,1969,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
ANSART Bernard Pierre Marie,,1984,Ministry of Economy,1989,,1996,Cabinets,1997,Heavy industry,2001,Heavy industry,2001,Retail,2003,Retail,2009,,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
ARMAND Loic Marie,,1983,,1983,Retail,1984,Retail,1990,Retail,1993,Retail,1995,Retail,1995,,1999,Retail,2000,Retail,2002,Retail,2003,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
ARSAC Francois Paul Marie Joseph,"the Ministry of Labour, Employment and Population",1971,,1974,,1976, Caisse des dÇpìts et consignations,1980,HSBC France,1983, Caisse des dÇpìts et consignations,1986,,1990,BPCE group,1992,,2000,CrÇdit Lyonnais,2000,,2004,,2004,,2004,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
ASSELINEAU Francois Didier,Natixis,1989,,1993,,1994,,1995,,1995,,1997,,2001,,2003,,2001,,2003,,2004,Ministry of Economy,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
AUBE-MARTIN Philippe Marc AndrÇ,Ministry of Economy,1986,Ministry of Economy,1986,,1988,,1997,,2004,,2005,Investment banks,2005,Real estate sector,2009,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
AUBERGER Bernard,,1970,,1970,Natixis,1972,,1974,Ministry of Economy,1974,Commissions Other,1975,Ministry of Agriculture,1980,,1986,,1988,,1991,,1991,,2001,,1998,,2000,SociÇtÇ GÇnÇrale,1995,,1997,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
AUBERGER Marc,Ministry of Economy,2000,Retail,2001,,2004,Technology,2004, Caisse des dÇpìts et consignations,2006,,2006,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
INN Philippe,,1967,Ministry of Economy,1973,,1973,,1974,,1974,,1976,Ministry of Economy,1976,,2009,,1978,,1979,Ministry of Economy,1983,,2007,,2001,,1997, Caisse des dÇpìts et consignations,2006,,2007,Other sectors,2009,,2001,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
AUBIN Christian Jean Louis Marie,,1969,,1971,Commissions Other,1969,,1973,,1971,,1973,the Ministry of Industry ,1975,Ministry of Economy,1976,,1981,,1982,Other banks,1988,BNP Paribas,1998,,1994,,2003,BNP Paribas,2007,,2003,,2007,Energy sector,1981,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A,,N / A
